".id","MABISA","MIMASA","MIMASB","MIMASC","MORRSA","MORRSB","MORRSC","MORRSD","MORRSE","ROVASA","ROVASB","ROVASC","ROVASD","ROVASE","ROVASF","SAGASA","SAGASB","SAIRSA","SAIRSB","SARASA","SARASB","SARASC","SARASD"
"pH_Lab",1,0.5,0.41,0.86,0.57,0.48,0.43,-0.11,0.29,-0.12,-0.06,0.08,0.38,0.28,0.1,0.33,0.36,0.07,-0.23,-0.05,0.12,-0.24,-0.13
"pH_Lab",0.5,1,0.55,0.59,0.67,0.5,0.54,-0.03,0.37,-0.05,0.16,-0.03,0.01,0.48,0.1,0.42,0.21,-0.02,-0.33,-0.24,0.28,0.11,-0.22
"pH_Lab",0.41,0.55,1,0.82,0.82,0.69,0.72,0.03,0.63,0.25,0.55,0.5,0.18,0.61,0,0.69,0.19,-0.45,-0.57,-0.32,-0.31,-0.08,-0.54
"pH_Lab",0.86,0.59,0.82,1,0.86,0.74,0.46,-0.11,0.82,0.53,0.75,0.28,0.55,0.83,-0.44,0.58,-0.35,-0.34,-0.6,0.11,-0.66,-0.62,-0.52
"pH_Lab",0.57,0.67,0.82,0.86,1,0.89,0.89,0.05,0.76,0.33,0.58,0.31,-0.18,0.83,-0.15,0.32,0.07,-0.6,-0.41,-0.3,-0.2,-0.25,-0.22
"pH_Lab",0.48,0.5,0.69,0.74,0.89,1,0.85,0.07,0.74,0.24,0.55,0.45,0.26,0.7,0.14,0.46,0.19,0.11,-0.52,-0.35,-0.07,0.03,-0.44
"pH_Lab",0.43,0.54,0.72,0.46,0.89,0.85,1,0.07,0.37,0.52,0.66,0.36,0.03,0.82,0.12,0.25,0.18,0.06,-0.1,-0.14,-0.12,0.13,-0.15
"pH_Lab",-0.11,-0.03,0.03,-0.11,0.05,0.07,0.07,1,0.04,-0.38,-0.31,-0.34,-0.04,-0.09,-0.02,-0.32,-0.34,-0.52,-0.61,-0.12,-0.47,-0.04,-0.05
"pH_Lab",0.29,0.37,0.63,0.82,0.76,0.74,0.37,0.04,1,0.05,0.43,0.26,0.09,0.4,-0.19,0.45,-0.06,0.08,-0.6,-0.19,-0.14,-0.21,-0.46
"pH_Lab",-0.12,-0.05,0.25,0.53,0.33,0.24,0.52,-0.38,0.05,1,0.83,0.66,0.35,0.64,0.18,0.09,-0.25,0.08,0.06,0.28,-0.19,0.2,-0.27
"pH_Lab",-0.06,0.16,0.55,0.75,0.58,0.55,0.66,-0.31,0.43,0.83,1,0.76,0.32,0.71,0.18,0.45,0.01,0.11,-0.09,0.04,-0.21,0.2,-0.43
"pH_Lab",0.08,-0.03,0.5,0.28,0.31,0.45,0.36,-0.34,0.26,0.66,0.76,1,0.4,0.62,0.01,0.6,0.37,0.49,0.65,-0.31,-0.09,0.25,-0.35
"pH_Lab",0.38,0.01,0.18,0.55,-0.18,0.26,0.03,-0.04,0.09,0.35,0.32,0.4,1,0.48,0.28,0.2,0.04,-0.08,-0.3,0.22,-0.37,0.02,-0.24
"pH_Lab",0.28,0.48,0.61,0.83,0.83,0.7,0.82,-0.09,0.4,0.64,0.71,0.62,0.48,1,0.64,0.36,-0.05,-0.15,-0.31,0.02,-0.41,0.25,-0.55
"pH_Lab",0.1,0.1,0,-0.44,-0.15,0.14,0.12,-0.02,-0.19,0.18,0.18,0.01,0.28,0.64,1,0.06,0,0.29,-0.35,0.42,0.43,0.6,-0.26
"pH_Lab",0.33,0.42,0.69,0.58,0.32,0.46,0.25,-0.32,0.45,0.09,0.45,0.6,0.2,0.36,0.06,1,0.61,0.22,-0.05,-0.23,0.08,0.04,-0.63
"pH_Lab",0.36,0.21,0.19,-0.35,0.07,0.19,0.18,-0.34,-0.06,-0.25,0.01,0.37,0.04,-0.05,0,0.61,1,0.59,0.87,-0.4,0.5,0.16,0.05
"pH_Lab",0.07,-0.02,-0.45,-0.34,-0.6,0.11,0.06,-0.52,0.08,0.08,0.11,0.49,-0.08,-0.15,0.29,0.22,0.59,1,0.71,0.1,0.94,0.56,0.15
"pH_Lab",-0.23,-0.33,-0.57,-0.6,-0.41,-0.52,-0.1,-0.61,-0.6,0.06,-0.09,0.65,-0.3,-0.31,-0.35,-0.05,0.87,0.71,1,-0.4,0.69,0.8,0.71
"pH_Lab",-0.05,-0.24,-0.32,0.11,-0.3,-0.35,-0.14,-0.12,-0.19,0.28,0.04,-0.31,0.22,0.02,0.42,-0.23,-0.4,0.1,-0.4,1,0.14,0.25,-0.21
"pH_Lab",0.12,0.28,-0.31,-0.66,-0.2,-0.07,-0.12,-0.47,-0.14,-0.19,-0.21,-0.09,-0.37,-0.41,0.43,0.08,0.5,0.94,0.69,0.14,1,0.47,0.38
"pH_Lab",-0.24,0.11,-0.08,-0.62,-0.25,0.03,0.13,-0.04,-0.21,0.2,0.2,0.25,0.02,0.25,0.6,0.04,0.16,0.56,0.8,0.25,0.47,1,-0.13
"pH_Lab",-0.13,-0.22,-0.54,-0.52,-0.22,-0.44,-0.15,-0.05,-0.46,-0.27,-0.43,-0.35,-0.24,-0.55,-0.26,-0.63,0.05,0.15,0.71,-0.21,0.38,-0.13,1
"ANC_ueqL",1,0.55,0.28,0.88,0.44,0.7,0.8,0.48,0.36,0.52,0.55,0.62,0.55,0.62,0.75,0.71,0.72,-0.27,0.25,0.59,0.32,0.63,-0.49
"ANC_ueqL",0.55,1,0.57,0.68,-0.18,0.53,0.52,0.34,0.4,0.09,0.18,0.12,0.53,0.36,0.55,0.82,0.65,-0.21,-0.08,0.38,0.28,0.18,-0.38
"ANC_ueqL",0.28,0.57,1,0.59,0.36,0.58,0.75,0.61,0.54,0.3,0.36,0.72,0.48,0.49,0.5,0.51,0.74,-0.1,-0.41,0.31,0.38,-0.09,-0.2
"ANC_ueqL",0.88,0.68,0.59,1,0.76,0.9,0.85,0.52,0.59,0.65,0.8,0.79,0.87,0.76,0.95,0.92,0.63,0.06,0.51,0.7,0.39,0.5,-0.64
"ANC_ueqL",0.44,-0.18,0.36,0.76,1,0.45,0.58,0.52,-0.06,0.5,0.47,0.58,0.25,0.6,0.85,-0.14,0.45,-0.51,-0.52,0.23,-0.11,0.21,-0.22
"ANC_ueqL",0.7,0.53,0.58,0.9,0.45,1,0.97,0.93,0.85,0.69,0.8,0.63,0.72,0.87,0.89,0.73,0.69,0.11,0.45,0.55,0.07,0.23,-0.46
"ANC_ueqL",0.8,0.52,0.75,0.85,0.58,0.97,1,0.86,0.65,0.74,0.81,0.73,0.67,0.94,0.92,0.55,0.75,-0.05,-0.15,0.38,-0.06,0.34,-0.26
"ANC_ueqL",0.48,0.34,0.61,0.52,0.52,0.93,0.86,1,0.83,0.66,0.78,0.57,0.54,0.84,0.77,0.45,0.58,-0.22,-0.5,0.34,0.23,0.3,-0.26
"ANC_ueqL",0.36,0.4,0.54,0.59,-0.06,0.85,0.65,0.83,1,0.47,0.56,0.1,0.59,0.59,0.68,0.61,0.36,0.23,0.4,0.34,-0.03,-0.01,-0.31
"ANC_ueqL",0.52,0.09,0.3,0.65,0.5,0.69,0.74,0.66,0.47,1,0.95,0.81,0.47,0.91,0.73,0.32,0.36,-0.08,0.09,0.24,0.09,0.3,-0.24
"ANC_ueqL",0.55,0.18,0.36,0.8,0.47,0.8,0.81,0.78,0.56,0.95,1,0.77,0.47,0.94,0.8,0.43,0.46,-0.04,0.19,0.27,0.07,0.33,-0.37
"ANC_ueqL",0.62,0.12,0.72,0.79,0.58,0.63,0.73,0.57,0.1,0.81,0.77,1,0.72,0.86,0.8,0.16,0.44,-0.4,-0.25,0.37,0.1,0.34,-0.12
"ANC_ueqL",0.55,0.53,0.48,0.87,0.25,0.72,0.67,0.54,0.59,0.47,0.47,0.72,1,0.61,0.64,0.63,0.44,0.08,0.34,0.62,0.1,0.3,-0.39
"ANC_ueqL",0.62,0.36,0.49,0.76,0.6,0.87,0.94,0.84,0.59,0.91,0.94,0.86,0.61,1,0.9,0.56,0.69,0,0.09,0.36,0.05,0.2,-0.6
"ANC_ueqL",0.75,0.55,0.5,0.95,0.85,0.89,0.92,0.77,0.68,0.73,0.8,0.8,0.64,0.9,1,0.8,0.64,0.13,0.5,0.52,0.07,0.31,-0.53
"ANC_ueqL",0.71,0.82,0.51,0.92,-0.14,0.73,0.55,0.45,0.61,0.32,0.43,0.16,0.63,0.56,0.8,1,0.69,-0.02,0.29,0.6,0.46,0.37,-0.58
"ANC_ueqL",0.72,0.65,0.74,0.63,0.45,0.69,0.75,0.58,0.36,0.36,0.46,0.44,0.44,0.69,0.64,0.69,1,-0.14,-0.11,0.55,0.35,0.31,-0.46
"ANC_ueqL",-0.27,-0.21,-0.1,0.06,-0.51,0.11,-0.05,-0.22,0.23,-0.08,-0.04,-0.4,0.08,0,0.13,-0.02,-0.14,1,0.87,0.1,-0.9,-0.6,0.13
"ANC_ueqL",0.25,-0.08,-0.41,0.51,-0.52,0.45,-0.15,-0.5,0.4,0.09,0.19,-0.25,0.34,0.09,0.5,0.29,-0.11,0.87,1,0.34,-0.8,-0.74,-0.24
"ANC_ueqL",0.59,0.38,0.31,0.7,0.23,0.55,0.38,0.34,0.34,0.24,0.27,0.37,0.62,0.36,0.52,0.6,0.55,0.1,0.34,1,0.38,0.52,-0.14
"ANC_ueqL",0.32,0.28,0.38,0.39,-0.11,0.07,-0.06,0.23,-0.03,0.09,0.07,0.1,0.1,0.05,0.07,0.46,0.35,-0.9,-0.8,0.38,1,0.62,-0.49
"ANC_ueqL",0.63,0.18,-0.09,0.5,0.21,0.23,0.34,0.3,-0.01,0.3,0.33,0.34,0.3,0.2,0.31,0.37,0.31,-0.6,-0.74,0.52,0.62,1,-0.19
"ANC_ueqL",-0.49,-0.38,-0.2,-0.64,-0.22,-0.46,-0.26,-0.26,-0.31,-0.24,-0.37,-0.12,-0.39,-0.6,-0.53,-0.58,-0.46,0.13,-0.24,-0.14,-0.49,-0.19,1
"AppColor_PCU",1,0.3,0.31,0.31,-0.05,-0.01,-0.03,0.08,0.25,0.09,0.06,0.06,0.22,0.19,0.12,0.13,0,0.61,0.67,0.08,0.2,-0.03,0.21
"AppColor_PCU",0.3,1,0.34,0.46,0.24,0.23,0.14,0.28,0.5,0.28,0.29,0.56,0.53,0.39,0.35,-0.32,0.1,0.32,-0.27,0.31,0.4,-0.15,0.4
"AppColor_PCU",0.31,0.34,1,0.15,0.18,0.23,0.07,0.15,0.17,0.17,0.09,0.27,0.32,0,0.04,-0.03,-0.14,0.83,0.56,0.03,0.28,-0.35,-0.04
"AppColor_PCU",0.31,0.46,0.15,1,0.41,0.77,0.78,0.62,0.54,0.4,0.7,0.43,0.44,0.17,0.83,0.19,0.56,0.45,0.85,0.25,0.41,0.88,0.25
"AppColor_PCU",-0.05,0.24,0.18,0.41,1,0.33,0.65,0.27,-0.04,0.39,0.21,0.13,0.07,0.04,0.42,-0.15,0.32,-0.66,-0.26,0.36,0.37,0.19,0.76
"AppColor_PCU",-0.01,0.23,0.23,0.77,0.33,1,0.88,0.85,0.13,0.73,0.74,0.55,0.05,0.4,0.62,0.22,0.31,0.4,0.6,0.01,-0.03,-0.19,0.08
"AppColor_PCU",-0.03,0.14,0.07,0.78,0.65,0.88,1,0.69,-0.03,0.75,0.71,0.45,-0.07,0.49,0.74,0.22,0.46,0.17,0.53,0.09,0.31,0.25,0.44
"AppColor_PCU",0.08,0.28,0.15,0.62,0.27,0.85,0.69,1,0.32,0.72,0.77,0.56,0.29,0.64,0.74,0.11,0.33,0.19,0.14,-0.01,-0.12,-0.11,0.09
"AppColor_PCU",0.25,0.5,0.17,0.54,-0.04,0.13,-0.03,0.32,1,0.65,0.67,0.65,0.57,0.82,0.35,-0.21,-0.11,0.51,-0.06,0.69,0.01,-0.02,0.31
"AppColor_PCU",0.09,0.28,0.17,0.4,0.39,0.73,0.75,0.72,0.65,1,0.97,0.72,0.4,0.78,0.74,0.1,-0.02,0.38,0.34,0.26,0.28,-0.06,0.34
"AppColor_PCU",0.06,0.29,0.09,0.7,0.21,0.74,0.71,0.77,0.67,0.97,1,0.71,0.34,0.81,0.74,0.08,0.01,0.26,0.43,0.12,0.25,-0.02,0.19
"AppColor_PCU",0.06,0.56,0.27,0.43,0.13,0.55,0.45,0.56,0.65,0.72,0.71,1,0.96,0.76,0.73,-0.05,-0.01,0.63,-0.05,0.31,0.55,0.3,0.29
"AppColor_PCU",0.22,0.53,0.32,0.44,0.07,0.05,-0.07,0.29,0.57,0.4,0.34,0.96,1,0.33,0.55,-0.19,0.01,0.6,0.37,0.58,0.65,0,0.33
"AppColor_PCU",0.19,0.39,0,0.17,0.04,0.4,0.49,0.64,0.82,0.78,0.81,0.76,0.33,1,0.52,-0.13,-0.25,0.31,0.3,0.37,0.18,-0.01,0.29
"AppColor_PCU",0.12,0.35,0.04,0.83,0.42,0.62,0.74,0.74,0.35,0.74,0.74,0.73,0.55,0.52,1,0.36,0.32,0.01,0.49,0.18,0.61,0.16,0.29
"AppColor_PCU",0.13,-0.32,-0.03,0.19,-0.15,0.22,0.22,0.11,-0.21,0.1,0.08,-0.05,-0.19,-0.13,0.36,1,0.08,-0.34,0.4,-0.17,-0.2,0.22,-0.24
"AppColor_PCU",0,0.1,-0.14,0.56,0.32,0.31,0.46,0.33,-0.11,-0.02,0.01,-0.01,0.01,-0.25,0.32,0.08,1,-0.66,0.22,0.04,0.48,0.63,0.1
"AppColor_PCU",0.61,0.32,0.83,0.45,-0.66,0.4,0.17,0.19,0.51,0.38,0.26,0.63,0.6,0.31,0.01,-0.34,-0.66,1,0.5,0.33,0.81,-0.71,0.08
"AppColor_PCU",0.67,-0.27,0.56,0.85,-0.26,0.6,0.53,0.14,-0.06,0.34,0.43,-0.05,0.37,0.3,0.49,0.4,0.22,0.5,1,-0.48,0.81,0.44,-0.23
"AppColor_PCU",0.08,0.31,0.03,0.25,0.36,0.01,0.09,-0.01,0.69,0.26,0.12,0.31,0.58,0.37,0.18,-0.17,0.04,0.33,-0.48,1,0.28,0.07,0.77
"AppColor_PCU",0.2,0.4,0.28,0.41,0.37,-0.03,0.31,-0.12,0.01,0.28,0.25,0.55,0.65,0.18,0.61,-0.2,0.48,0.81,0.81,0.28,1,0.34,0.56
"AppColor_PCU",-0.03,-0.15,-0.35,0.88,0.19,-0.19,0.25,-0.11,-0.02,-0.06,-0.02,0.3,0,-0.01,0.16,0.22,0.63,-0.71,0.44,0.07,0.34,1,0.05
"AppColor_PCU",0.21,0.4,-0.04,0.25,0.76,0.08,0.44,0.09,0.31,0.34,0.19,0.29,0.33,0.29,0.29,-0.24,0.1,0.08,-0.23,0.77,0.56,0.05,1
"DOC_mgL",1,-0.25,-0.05,0.13,0.39,0.27,0.82,0.14,0.11,0.74,0.24,0.61,-0.2,0.22,0.07,-0.42,0.02,-0.03,-0.44,-0.45,0.24,-0.45,-0.38
"DOC_mgL",-0.25,1,0.27,0.16,0.94,0.31,-0.33,0.17,-0.22,-0.32,0.2,0.82,0.39,0.34,0.02,-0.19,0.02,0.14,0.28,0.21,-0.3,-0.16,-0.03
"DOC_mgL",-0.05,0.27,1,0.84,0.23,0.13,0.9,0.46,0.11,-0.19,0.04,0.47,0.21,0.03,-0.09,-0.34,-0.44,0.55,0.45,-0.18,0.37,0.21,-0.1
"DOC_mgL",0.13,0.16,0.84,1,0.29,0.48,0.85,-0.08,-0.09,-0.22,-0.15,0.47,0.15,-0.46,-0.36,-0.57,-0.52,0.74,0.72,-0.11,0.82,0.95,0.13
"DOC_mgL",0.39,0.94,0.23,0.29,1,-0.12,-0.03,0.1,0.18,0.69,0.66,0.97,1,0.59,0.97,-0.11,-0.58,0.41,0.49,0.6,-0.24,0.06,0.49
"DOC_mgL",0.27,0.31,0.13,0.48,-0.12,1,1,-0.03,-0.73,-0.04,-0.17,0.13,-0.63,-0.33,-0.64,0.19,-0.1,0.19,-0.14,-0.03,0.7,-0.49,-0.15
"DOC_mgL",0.82,-0.33,0.9,0.85,-0.03,1,1,-0.05,-0.4,0.48,0.61,0.21,-0.02,-0.69,0.12,-0.99,0.83,-0.05,-0.12,-0.82,0.72,0.78,-0.78
"DOC_mgL",0.14,0.17,0.46,-0.08,0.1,-0.03,-0.05,1,0.62,0,0,0.15,0.27,0.13,0.09,-0.43,-0.11,-0.23,-0.57,-0.17,-0.72,-0.17,-0.33
"DOC_mgL",0.11,-0.22,0.11,-0.09,0.18,-0.73,-0.4,0.62,1,0.28,0.3,0.13,0.58,0.45,0.63,-0.42,-0.05,-0.16,-0.1,0.02,-0.92,0.25,0.06
"DOC_mgL",0.74,-0.32,-0.19,-0.22,0.69,-0.04,0.48,0,0.28,1,0.7,0.82,0.06,0.44,0.55,0.02,0.15,-0.57,-0.62,0.08,-0.15,0.06,0.15
"DOC_mgL",0.24,0.2,0.04,-0.15,0.66,-0.17,0.61,0,0.3,0.7,1,0.82,0.43,0.7,0.8,0.05,0.15,-0.41,-0.58,0.34,0.02,0.37,0.4
"DOC_mgL",0.61,0.82,0.47,0.47,0.97,0.13,0.21,0.15,0.13,0.82,0.82,1,0.97,0.43,0.99,-0.34,-0.37,0.33,0.39,0.38,-0.1,0.21,0.26
"DOC_mgL",-0.2,0.39,0.21,0.15,1,-0.63,-0.02,0.27,0.58,0.06,0.43,0.97,1,0.48,0.76,-0.4,0.22,-0.18,0.17,0.17,-0.24,0.47,0.11
"DOC_mgL",0.22,0.34,0.03,-0.46,0.59,-0.33,-0.69,0.13,0.45,0.44,0.7,0.43,0.48,1,0.57,-0.18,-0.22,0.11,0,0.28,-0.91,-0.17,0.22
"DOC_mgL",0.07,0.02,-0.09,-0.36,0.97,-0.64,0.12,0.09,0.63,0.55,0.8,0.99,0.76,0.57,1,-0.15,0.38,-0.6,-0.54,0.21,-0.25,0.62,0.29
"DOC_mgL",-0.42,-0.19,-0.34,-0.57,-0.11,0.19,-0.99,-0.43,-0.42,0.02,0.05,-0.34,-0.4,-0.18,-0.15,1,-0.06,-0.16,-0.09,0.68,-0.72,0.15,0.65
"DOC_mgL",0.02,0.02,-0.44,-0.52,-0.58,-0.1,0.83,-0.11,-0.05,0.15,0.15,-0.37,0.22,-0.22,0.38,-0.06,1,-0.92,-0.82,-0.33,0.77,0.73,-0.37
"DOC_mgL",-0.03,0.14,0.55,0.74,0.41,0.19,-0.05,-0.23,-0.16,-0.57,-0.41,0.33,-0.18,0.11,-0.6,-0.16,-0.92,1,0.95,0.09,0.48,-0.48,0.16
"DOC_mgL",-0.44,0.28,0.45,0.72,0.49,-0.14,-0.12,-0.57,-0.1,-0.62,-0.58,0.39,0.17,0,-0.54,-0.09,-0.82,0.95,1,0.48,0.38,0.48,0.76
"DOC_mgL",-0.45,0.21,-0.18,-0.11,0.6,-0.03,-0.82,-0.17,0.02,0.08,0.34,0.38,0.17,0.28,0.21,0.68,-0.33,0.09,0.48,1,-0.65,0.26,0.92
"DOC_mgL",0.24,-0.3,0.37,0.82,-0.24,0.7,0.72,-0.72,-0.92,-0.15,0.02,-0.1,-0.24,-0.91,-0.25,-0.72,0.77,0.48,0.38,-0.65,1,0.95,-0.39
"DOC_mgL",-0.45,-0.16,0.21,0.95,0.06,-0.49,0.78,-0.17,0.25,0.06,0.37,0.21,0.47,-0.17,0.62,0.15,0.73,-0.48,0.48,0.26,0.95,1,0.52
"DOC_mgL",-0.38,-0.03,-0.1,0.13,0.49,-0.15,-0.78,-0.33,0.06,0.15,0.4,0.26,0.11,0.22,0.29,0.65,-0.37,0.16,0.76,0.92,-0.39,0.52,1
"TP_ugL",1,0.25,0.43,0.25,0.26,-0.1,0.24,0.12,-0.03,0.12,0.04,-0.2,-0.2,-0.21,-0.18,-0.14,-0.1,0.81,-0.19,-0.32,0.1,-0.12,-0.02
"TP_ugL",0.25,1,0.32,0.21,0.48,-0.17,0.41,0.13,0.03,0.04,-0.15,-0.18,-0.34,-0.26,-0.37,-0.43,-0.26,-0.18,0.1,-0.32,-0.12,-0.44,-0.31
"TP_ugL",0.43,0.32,1,0.84,0.18,0.17,0.24,0.34,0.21,0.29,0.25,0.12,-0.08,-0.34,-0.05,-0.4,-0.1,0.72,-0.25,-0.12,0.59,0.38,-0.19
"TP_ugL",0.25,0.21,0.84,1,0.24,0.49,0.6,0.81,0.47,0.4,0.5,0.53,0.37,0.06,0.1,-0.55,0.15,0.9,-0.03,-0.42,0.5,0.7,-0.02
"TP_ugL",0.26,0.48,0.18,0.24,1,0.22,0.99,0.44,-0.08,0.79,0.43,0.07,-0.06,0.41,0.05,0.39,0.19,0.08,0.73,-0.07,0.02,-0.14,0.16
"TP_ugL",-0.1,-0.17,0.17,0.49,0.22,1,0.38,0.47,0.01,0.52,0.56,0.53,0.54,0.4,0.41,-0.21,0.58,0.6,0.3,0.2,0.36,0.5,0.21
"TP_ugL",0.24,0.41,0.24,0.6,0.99,0.38,1,0.45,-0.15,0.81,0.49,0.08,-0.01,0.48,0.15,0.42,0.34,0.91,0.7,-0.09,0.09,-0.02,0.22
"TP_ugL",0.12,0.13,0.34,0.81,0.44,0.47,0.45,1,0.17,0.38,0.4,0.39,0.1,0.19,0.35,-0.13,0.47,0.76,0.8,-0.15,0.12,-0.13,-0.05
"TP_ugL",-0.03,0.03,0.21,0.47,-0.08,0.01,-0.15,0.17,1,0.24,0.09,0.48,0.31,-0.13,0.15,-0.34,-0.26,0.5,-0.07,0.47,0.03,-0.14,0.22
"TP_ugL",0.12,0.04,0.29,0.4,0.79,0.52,0.81,0.38,0.24,1,0.79,0.44,0.5,0.4,0.46,-0.17,0.32,0.5,0.63,0.13,0.44,0.11,0.23
"TP_ugL",0.04,-0.15,0.25,0.5,0.43,0.56,0.49,0.4,0.09,0.79,1,0.59,0.52,0.3,0.51,-0.07,0.36,0.72,0.53,-0.09,0.58,0.38,0.12
"TP_ugL",-0.2,-0.18,0.12,0.53,0.07,0.53,0.08,0.39,0.48,0.44,0.59,1,0.85,-0.04,0.43,0.15,0.5,0.47,0.91,0.11,0.74,0.37,-0.11
"TP_ugL",-0.2,-0.34,-0.08,0.37,-0.06,0.54,-0.01,0.1,0.31,0.5,0.52,0.85,1,0.65,0.8,-0.12,0.62,0.23,0.79,0.44,0.67,0.37,0.53
"TP_ugL",-0.21,-0.26,-0.34,0.06,0.41,0.4,0.48,0.19,-0.13,0.4,0.3,-0.04,0.65,1,0.76,-0.21,0.57,-0.16,0.97,0.17,0.57,0.1,0.6
"TP_ugL",-0.18,-0.37,-0.05,0.1,0.05,0.41,0.15,0.35,0.15,0.46,0.51,0.43,0.8,0.76,1,-0.16,0.58,-0.02,0.96,0.27,0.7,0.5,0.62
"TP_ugL",-0.14,-0.43,-0.4,-0.55,0.39,-0.21,0.42,-0.13,-0.34,-0.17,-0.07,0.15,-0.12,-0.21,-0.16,1,0.24,-0.41,-0.28,0.1,-0.2,0.12,-0.14
"TP_ugL",-0.1,-0.26,-0.1,0.15,0.19,0.58,0.34,0.47,-0.26,0.32,0.36,0.5,0.62,0.57,0.58,0.24,1,-0.05,0.86,0.09,0.25,0.33,0.24
"TP_ugL",0.81,-0.18,0.72,0.9,0.08,0.6,0.91,0.76,0.5,0.5,0.72,0.47,0.23,-0.16,-0.02,-0.41,-0.05,1,-0.24,-0.43,0.69,0.83,-0.29
"TP_ugL",-0.19,0.1,-0.25,-0.03,0.73,0.3,0.7,0.8,-0.07,0.63,0.53,0.91,0.79,0.97,0.96,-0.28,0.86,-0.24,1,-0.01,0.78,0.71,0.72
"TP_ugL",-0.32,-0.32,-0.12,-0.42,-0.07,0.2,-0.09,-0.15,0.47,0.13,-0.09,0.11,0.44,0.17,0.27,0.1,0.09,-0.43,-0.01,1,0.16,-0.07,0.76
"TP_ugL",0.1,-0.12,0.59,0.5,0.02,0.36,0.09,0.12,0.03,0.44,0.58,0.74,0.67,0.57,0.7,-0.2,0.25,0.69,0.78,0.16,1,0.51,0.57
"TP_ugL",-0.12,-0.44,0.38,0.7,-0.14,0.5,-0.02,-0.13,-0.14,0.11,0.38,0.37,0.37,0.1,0.5,0.12,0.33,0.83,0.71,-0.07,0.51,1,0.2
"TP_ugL",-0.02,-0.31,-0.19,-0.02,0.16,0.21,0.22,-0.05,0.22,0.23,0.12,-0.11,0.53,0.6,0.62,-0.14,0.24,-0.29,0.72,0.76,0.57,0.2,1
"TotDissP_ugL",1,0.1,0.47,-0.07,0.24,0.13,0.27,0.07,-0.23,0.47,0.42,-0.03,0.25,0.27,0.32,0.46,0.22,NA,1,0.18,0.52,0.63,0.62
"TotDissP_ugL",0.1,1,-0.08,0.79,0.45,0.35,0.19,0.1,0.07,-0.06,-0.25,0.04,0.05,-0.14,-0.49,-0.17,-0.11,NA,1,-0.04,0.04,-0.17,-0.23
"TotDissP_ugL",0.47,-0.08,1,-0.03,0.53,0.67,0.79,0.69,0.54,0.9,0.82,0.76,0.74,0.77,0.65,0.78,0.12,NA,1,0.43,0.87,0.98,0.75
"TotDissP_ugL",-0.07,0.79,-0.03,1,0.45,0.35,0.28,0.05,0.89,-0.15,-0.29,NA,0.04,-1,-0.27,-0.98,-0.73,NA,NA,0.3,0.27,0,-0.21
"TotDissP_ugL",0.24,0.45,0.53,0.45,1,0.92,0.9,0.84,0.27,0.75,0.68,0.6,0.66,0.69,0.12,0.48,-0.08,NA,1,0.23,0.79,0.58,0.48
"TotDissP_ugL",0.13,0.35,0.67,0.35,0.92,1,0.96,0.91,0.35,0.79,0.7,0.78,0.83,0.79,0.31,0.63,0.15,NA,-1,0.28,0.84,0.73,0.52
"TotDissP_ugL",0.27,0.19,0.79,0.28,0.9,0.96,1,0.86,0.44,0.89,0.84,0.78,0.81,0.91,0.34,0.58,-0.35,NA,1,0.18,0.95,0.85,0.49
"TotDissP_ugL",0.07,0.1,0.69,0.05,0.84,0.91,0.86,1,0.52,0.79,0.78,0.76,0.91,0.61,0.49,0.6,0.2,NA,-1,0.55,0.86,0.81,0.67
"TotDissP_ugL",-0.23,0.07,0.54,0.89,0.27,0.35,0.44,0.52,1,0.34,0.26,0.26,0.41,0.04,0.34,-0.08,-0.2,NA,-1,0.62,0.4,0.52,0.02
"TotDissP_ugL",0.47,-0.06,0.9,-0.15,0.75,0.79,0.89,0.79,0.34,1,0.94,0.74,0.72,0.92,0.55,0.72,0.02,NA,1,0.28,0.89,0.94,0.72
"TotDissP_ugL",0.42,-0.25,0.82,-0.29,0.68,0.7,0.84,0.78,0.26,0.94,1,0.87,0.73,0.87,0.68,0.68,0.12,NA,1,0.27,0.82,0.92,0.73
"TotDissP_ugL",-0.03,0.04,0.76,NA,0.6,0.78,0.78,0.76,0.26,0.74,0.87,1,0.97,0.85,0.57,0.73,0.44,NA,NA,0.34,0.86,0.93,0.53
"TotDissP_ugL",0.25,0.05,0.74,0.04,0.66,0.83,0.81,0.91,0.41,0.72,0.73,0.97,1,0.59,0.72,0.67,0.57,NA,1,0.69,0.79,0.96,0.8
"TotDissP_ugL",0.27,-0.14,0.77,-1,0.69,0.79,0.91,0.61,0.04,0.92,0.87,0.85,0.59,1,0.39,0.66,-0.11,NA,NA,-0.38,0.93,0.79,0.45
"TotDissP_ugL",0.32,-0.49,0.65,-0.27,0.12,0.31,0.34,0.49,0.34,0.55,0.68,0.57,0.72,0.39,1,0.42,0.56,NA,1,0.42,0.55,0.77,0.67
"TotDissP_ugL",0.46,-0.17,0.78,-0.98,0.48,0.63,0.58,0.6,-0.08,0.72,0.68,0.73,0.67,0.66,0.42,1,0.42,NA,1,0.4,0.81,0.8,0.75
"TotDissP_ugL",0.22,-0.11,0.12,-0.73,-0.08,0.15,-0.35,0.2,-0.2,0.02,0.12,0.44,0.57,-0.11,0.56,0.42,1,NA,1,0.37,0.14,0.21,0.44
"TotDissP_ugL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
