.id,,ACABIN,ACBRKB,ACBRWN,ACBUBO,ACCADS,ACDKLI,ACDUCK,ACEGLO,ACHADB,ACHNTR,ACHTHB,ACJRDO,ACKEBO,ACLKWO,ACLSIE,ACLVYB,ACMOWB,ACMRSL,ACOTRC,ACSGTB,ACSTNL
Cl (ueqL),ACMRSL,0.83,0.08,,,0.35,,,,-0.62,0.61,0.63,-1,0.41,,,,,1,0.27,0.95,-0.51
Cl (ueqL),ACOTRC,0.38,-0.94,0.22,1,0.63,0.82,0.59,,0.84,0.89,0.92,-1,0.65,0.68,0.01,0.81,,0.27,1,0.54,0.37
Cl (ueqL),ACSGTB,0.87,-0.23,,,0.46,,,,-0.35,0.82,0.83,-1,0.59,,,,,0.95,0.54,1,-0.58
Cl (ueqL),ACSTNL,-0.1,0.4,0.52,1,0.81,0.01,0.42,,0.31,-0.46,-0.7,1,0.09,-0.12,0.72,-0.12,,-0.51,0.37,-0.58,1
SO4 (ueqL),ACABIN,1,0.86,,,0.57,,,,0.81,0.39,0.55,1,0.94,,,,,0.69,0.83,0.23,0.32
SO4 (ueqL),ACBRKB,0.86,1,,,0.9,,,,0.4,-0.14,0.77,1,0.66,,,,,0.23,1,0.67,-0.21
SO4 (ueqL),ACBRWN,,,1,,0.68,-0.1,0.93,,0.88,,,,,0.58,0.15,0.14,,,0.27,,0.29
SO4 (ueqL),ACBUBO,,,,,,,,,,,,,,,,,,,,,
SO4 (ueqL),ACCADS,0.57,0.9,0.68,,1,0.78,0.61,,-0.04,-0.52,0.67,1,0.33,0.96,-0.45,0.27,,-0.13,0.92,0.82,-0.11
SO4 (ueqL),ACDKLI,,,-0.1,,0.78,1,-0.01,,-0.59,,,,,0.78,-0.2,0.56,,,0.95,,0.46
SO4 (ueqL),ACDUCK,,,0.93,,0.61,-0.01,1,,0.65,,,,,0.59,-0.6,-0.39,,,0.29,,-0.31
SO4 (ueqL),ACEGLO,,,,,,,,,,,,,,,,,,,,,
SO4 (ueqL),ACHADB,0.81,0.4,0.88,,-0.04,-0.59,0.65,,1,0.85,0.14,-1,0.93,-0.16,0.11,-0.22,,0.96,0.13,-0.35,0.42
SO4 (ueqL),ACHNTR,0.39,-0.14,,,-0.52,,,,0.85,1,-0.3,-1,0.63,,,,,0.91,-0.19,-0.76,1
SO4 (ueqL),ACHTHB,0.55,0.77,,,0.67,,,,0.14,-0.3,1,1,0.25,,,,,-0.14,0.81,0.84,-0.38
SO4 (ueqL),ACJRDO,1,1,,,1,,,,-1,-1,1,1,-1,,,,,-1,1,1,-1
SO4 (ueqL),ACKEBO,0.94,0.66,,,0.33,,,,0.93,0.63,0.25,-1,1,,,,,0.89,0.6,-0.11,0.58
SO4 (ueqL),ACLKWO,,,0.58,,0.96,0.78,0.59,,-0.16,,,,,1,-0.66,0.07,,,0.9,,0.01
SO4 (ueqL),ACLSIE,,,0.15,,-0.45,-0.2,-0.6,,0.11,,,,,-0.66,1,0.68,,,-0.3,,0.74
SO4 (ueqL),ACLVYB,,,0.14,,0.27,0.56,-0.39,,-0.22,,,,,0.07,0.68,1,,,0.49,,0.99
SO4 (ueqL),ACMOWB,,,,,,,,,,,,,,,,,,,,,
SO4 (ueqL),ACMRSL,0.69,0.23,,,-0.13,,,,0.96,0.91,-0.14,-1,0.89,,,,,1,0.16,-0.55,0.89
SO4 (ueqL),ACOTRC,0.83,1,0.27,,0.92,0.95,0.29,,0.13,-0.19,0.81,1,0.6,0.9,-0.3,0.49,,0.16,1,0.73,0.1
SO4 (ueqL),ACSGTB,0.23,0.67,,,0.82,,,,-0.35,-0.76,0.84,1,-0.11,,,,,-0.55,0.73,1,-0.81
SO4 (ueqL),ACSTNL,0.32,-0.21,0.29,,-0.11,0.46,-0.31,,0.42,1,-0.38,-1,0.58,0.01,0.74,0.99,,0.89,0.1,-0.81,1
