"Project","Park","NETNCode","Site","Date","LabCode","SampleTime","SampleDepth_m","pH_Lab","ANC_ueqL","AppColor_PCU","AppColorFlag","DOC_mgL","DOCFlag","TP_ugL","TPFlag","TN_mgL","TNFlag","NO2_mgL","NO2Flag","NH3_mgL","NH3Flag","NO3_ueqL","NO3Flag","SO4_ueqL","SO4Flag","Cl_ueqL","ClFlag","SEC2016","month","year","mon_year","Date","Sample Time","Stream_Lake Temp","Test Time","Bottle Temp","NH3-N mg/l","NH3 mg/l","PO4mg/L","PO4ug/L","NO2-Nug/l(meter)","NO2 ug/l(meter)","NO2 mg/l(meter)","NO3(strip)","Cl mg/L (meter)","Cl <U+00B5>eq/L (meter)","Cl quantab units (strip)","Cl mg/L (strip)","Cl ueq/L (strip)","Rain Event","QA/QC Notes","month","year"
"NETNStream","ACAD","ACDUCK","Duck Brook- North of Rt. 233",2017-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACDUCK_20170607","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACDUCK","Duck Brook- North of Rt. 233",2017-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACDUCK_20170710","07","2017","072017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACDUCK","Duck Brook- North of Rt. 233",2017-08-14,"SWRL",1899-12-31 12:30:00,0.2,6.758,73.64646,4.987,NA,1.535,NA,1.9,NA,NA,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",NA,"<MRL 1",1.2821,NA,6.0826,NA,"ACDUCK_20170814","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACDUCK","Duck Brook- North of Rt. 233",2017-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACDUCK_20170913","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACDKLI","Duck Pond Brook-inlet to Long Pond",2017-05-09,"SWRL",1899-12-31 09:35:00,0.2,4.984,0.754758,51.275,NA,7.638,NA,4,NA,0.132,NA,NA,"<MRL 0.001",0.00691,NA,NA,"<MRL 1",44.2584375,NA,127.650571428571,NA,"ACDKLI_20170509","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACDKLI","Duck Pond Brook-inlet to Long Pond",2017-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACDKLI_20170608","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACDKLI","Duck Pond Brook-inlet to Long Pond",2017-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACDKLI_20170706","07","2017","072017",2017-07-06,"13:00",16.5,"15:00",19,0.14,0.17,NA,NA,2,6.58,0.00658,NA,6.8,191.8,NA,NA,NA,NA,NA,"07","2017"
"NETNStream","ACAD","ACDKLI","Duck Pond Brook-inlet to Long Pond",2017-08-03,"SWRL",1899-12-31 09:45:00,0.2,6.384,61.85,74.485,NA,6.264,NA,8.2,NA,NA,NA,NA,"<MRL 0.001",0.0136,NA,NA,"<MRL 1",31.9354166666667,NA,121.551428571429,NA,"ACDKLI_20170803","08","2017","082017",2017-08-03,"9:45",17.2,"13:45",19.4,0.28,0.33992,NA,NA,NA,NA,NA,NA,10.2,287.742,NA,NA,NA,NA,NA,"08","2017"
"NETNStream","ACAD","ACDKLI","Duck Pond Brook-inlet to Long Pond",2017-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACDKLI_20170911","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACHADB","Hadlock Brook (Upper Hadlock Pond)",2017-05-10,"SWRL",1899-12-31 10:25:00,0.2,6.029,23.96287,14.106,NA,3.615,NA,2.1,NA,0.08,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",NA,"<MRL 1",49.8990625,NA,112.319142857143,NA,"ACHADB_20170510","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
